Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV 1_280		Cond		Conc B		Injection		Run Log		Fraction		UV 1_280_CUT_TEMP@100,BASEM		UV 2_350	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU	ml	mAU
0.036169	0.901043	0.07512	88.07193	0.386781	0							0.038951	-2.937357	0.191973	-0.04377
0.036668	0.901139	0.076119	88.03257	0.391775	0							0.03945	-2.9371	0.194469	-0.052094
0.037168	0.901192	0.077117	87.995705	0.39677	0							0.03995	-2.936842	0.196966	-0.060582
0.037667	0.901262	0.078116	87.961418	0.401764	0							0.040449	-2.936568	0.199463	-0.070166
0.038166	0.901332	0.079115	87.929031	0.406758	0							0.040948	-2.936293	0.20196	-0.077301
0.038666	0.901401	0.080114	87.899132	0.411753	0							0.041448	-2.936019	0.204457	-0.08195
0.039165	0.901471	0.081112	87.870987	0.416747	0							0.041947	-2.935745	0.206954	-0.085119
0.039664	0.901403	0.082111	87.843559	0.421742	0							0.042447	-2.93547	0.209451	-0.091418
0.040164	0.900392	0.08311	87.817101	0.426736	0							0.042946	-2.935196	0.211947	-0.099796
0.040663	0.89932	0.084108	87.791557	0.43173	0							0.043445	-2.934922	0.214444	-0.107322
0.041163	0.898247	0.085107	87.767227	0.436725	0							0.043945	-2.934647	0.216941	-0.113404
0.041662	0.89717	0.086106	87.743706	0.441719	0							0.044444	-2.934373	0.219438	-0.118222
0.042161	0.896093	0.087105	87.720169	0.446713	0							0.044943	-2.934098	0.221935	-0.121471
0.042661	0.894985	0.088103	87.696915	0.451708	0							0.045443	-2.933807	0.224432	-0.124597
0.04316	0.893963	0.089102	87.674202	0.456702	0							0.045942	-2.933517	0.226929	-0.12951
0.043659	0.892951	0.090101	87.651886	0.461697	0							0.046441	-2.933225	0.229425	-0.136184
0.044159	0.891922	0.0911	87.629738	0.466691	0							0.046941	-2.932935	0.231922	-0.142928
0.044658	0.890903	0.092098	87.607353	0.471685	0							0.04744	-2.932644	0.234419	-0.146002
